SUPPLIER,Mechanical/Electrical,SUPPLIER PART#,8-DIGIT,DESCRIPTION,FROM PROJECT:,DATE,Cycle Count Date,QTY, NET PRICE , TOTAL ,LOCATION
Hoffman,Electrical,CSD243010SS,,Metal Enclosure,,3/23/2021,,3,"$1,272 ","$3,817 ",FBR-2-SH-4-S-1
AB,Electrical," 1769-OF4, Analog output",,,,4/17/2024,,1,$832 ,$832 ,R5-5-1
,Electrical,,,ICBM Contral Panel,,3/25/2021,,1, Bad Part? , $-   ,FBR-4-SH-2-S-1
IFM,Electrical,E18460,,YELLOW CABLE AWG 22,,4/28/2021,,20, Bad Part? , $-   ,FBR-4-SH-4S-1
Goulds,Mechanical,SN;2021014501,,PUMP/POWER SUPPLY ( just pump no other parts),,4/28/2021,,1,, $-   ,FBR-4-SH-4S-1
ALFA LAVAL,,610373  9634000312  246067  9634049938,,"TC SHORT WELD FERRULE, 90-WELD BEND, L31-4X3-316L-7",,4/28/2021,,1,$50 ,$50 ,FBR-4-SH-4S-1
SMC,Electrical,PO 1438192,,8 STA VQZ332 W/FRL,,4/28/2021,,10,, $-   ,FBR-4-SH-4S-1
Hoffman,Electrical,CP3024  213-RDL,,Concept Panel,,3/31/2021,,4,, $-   ,FBR-5-SH-2-S-2
Steamgard,Mechanical,"1.5"" SG-EP-21N SYSTEM CS/SS 150PSIG",,PIPE AND VALVE,,5/4/2021,,1,, $-   ,FBR-5-SH-2-S-2
,Electrical,18007100,,Contral Panel 20-00208,,3/25/2021,,3, Bad Part? , $-   ,FBR-5-SH-4-S-1
Hoffman,Electrical,78351026159,,HOFF A24P24G PANEL,,4/9/2021,,2,, $-   ,FBR-6-F-S-1
HOFFMAN,Electrical,23170,,A24P20 PANEL,,4/9/2021,,1,, $-   ,FBR-6-F-S-1
Rosemount,Electrical,s/n;c20-22289505-003,,disconnect  84-265 VAC,,4/26/2021,,1,, $-   ,FBR-6-F-S-1
AB,Electrical,1494U-J100-CR-NO-PC-S,,Disconnect Kits,,5/2/2021,,1,$862 ,$862 ,FBR-6-F-S-1
HEYCO PRODUCTS,Electrical,M3200GBH,,"Liquid tight cord grip 1/2"" npt split",,6/16/2021,,200,, $-   ,FBR-6-F-S-1
Burkert,Mechanical,98127342,,ON/OFF Valve,,7/27/2021,,1,, $-   ,FBR-6-F-S-1
AB,Electrical,5069-OW16,,5000 RELAY OUTPUT MODULE,,8/20/2021,,13,$691 ,"$8,983 ",FBR-6-F-S-1
ProMinent,Mechanical,Type; GMXA0715NPE2Q000UD01300EN,,Solenoid metering pump,,9/15/2021,,2,, $-   ,FBR-6-F-S-1
HOFFMAN,Electrical,CSD243010SS,,ENCLOSURES,,5/4/2021,,3,, $-   ,FBR-8-SH-4-S-1
